driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiScore,sentiment,siteCode,trigger
 ,#N/A,washer,"The portable and compact 1.0 cu. ft. washer has 3 electric controlled water levels and 3 wash cycles for the perfect load every time. The stainless steel tub holds up to 6 pounds of clothes, which is perfect for baby clothes, delicates or a smaller wash. The quick connect sink adaptor is easy and included with your installation kit. When you're all done, just roll the washer away into a closet with included casters.",https://images-na.ssl-images-amazon.com/images/I/41ZET%2BUpx9L._SY445_.jpg,B002UYSHMM,4.3,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/dp/B002UYSHMM/ref=sr_1_3?ie=UTF8&qid=1499411221&sr=8-3&keywords=washer,washer__B002UYSHMM,#N/A,2017-07-06 00:00:00,5.0,"Works Great we use it for camping, and when I have a lot of delicate things to wash at home I use it, faster than regular machine.",Exactly what I needed,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/product-reviews/B002UYSHMM/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Ashley Griffis,washer__B002UYSHMM_Ashley Griffis_27_130, , ,AM, 
 ,#N/A,washer,"The portable and compact 1.0 cu. ft. washer has 3 electric controlled water levels and 3 wash cycles for the perfect load every time. The stainless steel tub holds up to 6 pounds of clothes, which is perfect for baby clothes, delicates or a smaller wash. The quick connect sink adaptor is easy and included with your installation kit. When you're all done, just roll the washer away into a closet with included casters.",https://images-na.ssl-images-amazon.com/images/I/41ZET%2BUpx9L._SY445_.jpg,B002UYSHMM,4.3,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/dp/B002UYSHMM/ref=sr_1_3?ie=UTF8&qid=1499411221&sr=8-3&keywords=washer,washer__B002UYSHMM,#N/A,2017-07-04 00:00:00,5.0,"Serious life saver for those living in the city.
I think this laundry machine pays for itself in the course of a year.
Its perfect for 1 weeks worth of clothes for an average Joe like me. It takes care of 1 jeans, 5 underwear, 5 pairs of socks, and 2-3 shirts.
The laundry machine is easy to install over the kitchen sink, and its compact enough to tuck away in some corner of the apartment.",City life Laundry machine,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/product-reviews/B002UYSHMM/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,oo0hNoo0,washer__B002UYSHMM_oo0hNoo0_73_391, , ,AM, 
 ,#N/A,washer,"The portable and compact 1.0 cu. ft. washer has 3 electric controlled water levels and 3 wash cycles for the perfect load every time. The stainless steel tub holds up to 6 pounds of clothes, which is perfect for baby clothes, delicates or a smaller wash. The quick connect sink adaptor is easy and included with your installation kit. When you're all done, just roll the washer away into a closet with included casters.",https://images-na.ssl-images-amazon.com/images/I/41ZET%2BUpx9L._SY445_.jpg,B002UYSHMM,4.3,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/dp/B002UYSHMM/ref=sr_1_3?ie=UTF8&qid=1499411221&sr=8-3&keywords=washer,washer__B002UYSHMM,#N/A,2017-06-28 00:00:00,1.0,It was worst ever I met.there's no filtered any dust.Don't buy this.,One Star,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/product-reviews/B002UYSHMM/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,washer__B002UYSHMM_Amazon Customer_12_68, , ,AM, 
 ,#N/A,washer,"The portable and compact 1.0 cu. ft. washer has 3 electric controlled water levels and 3 wash cycles for the perfect load every time. The stainless steel tub holds up to 6 pounds of clothes, which is perfect for baby clothes, delicates or a smaller wash. The quick connect sink adaptor is easy and included with your installation kit. When you're all done, just roll the washer away into a closet with included casters.",https://images-na.ssl-images-amazon.com/images/I/41ZET%2BUpx9L._SY445_.jpg,B002UYSHMM,4.3,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/dp/B002UYSHMM/ref=sr_1_3?ie=UTF8&qid=1499411221&sr=8-3&keywords=washer,washer__B002UYSHMM,#N/A,2017-06-27 00:00:00,5.0,very nice ，so easy,Five Stars,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/product-reviews/B002UYSHMM/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,peter long,washer__B002UYSHMM_peter long_4_18, , ,AM, 
 ,#N/A,washer,"The portable and compact 1.0 cu. ft. washer has 3 electric controlled water levels and 3 wash cycles for the perfect load every time. The stainless steel tub holds up to 6 pounds of clothes, which is perfect for baby clothes, delicates or a smaller wash. The quick connect sink adaptor is easy and included with your installation kit. When you're all done, just roll the washer away into a closet with included casters.",https://images-na.ssl-images-amazon.com/images/I/41ZET%2BUpx9L._SY445_.jpg,B002UYSHMM,4.3,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/dp/B002UYSHMM/ref=sr_1_3?ie=UTF8&qid=1499411221&sr=8-3&keywords=washer,washer__B002UYSHMM,#N/A,2017-06-27 00:00:00,5.0,"I was used to a full-sized washer that could wash more clothes at once, but as a newly single guy adjusting to apartment living I have to say I really like this little washer. It's fully automatic (fills and drains itself, washes and spins in the same tub) unlike some of the other brands. It uses only cold water so that might be an issue with white clothes if you must have them looking their brightest, but all my clothes are dark, and I always did set my full-sized washer to just use cold water always to help minimize fading. I used to get away with doing 1 load/ wk with the full-sized but this is smaller so I do loads 2-3x/ wk now which I discovered I actually prefer since putting away the laundry is less tedious now because there's less of it (putting away laundry had always been my least favorite chore). You can connect it to a regular w/d hookup or a sink (it comes with optional wheels and a funky hose). I just bought a regular hose and hooked it up to the w/d connection. Even though the water inlet is plastic, make sure to put the hose on extra tight or it will make a mess as soon as you turn on the water. Hand-tight is not enough. Use a wrench and do it at least 1/4 turn past hand-tight. It Pairs well with the Panda dryer which they are small enough to fit together in a 3 sqft w/d room meant for a combo w/d (which I opted not to get since they are known to have issues).",Great washer. Perfect for apartment. Pairs well with Panda dryer.,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/product-reviews/B002UYSHMM/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,AT,washer__B002UYSHMM_AT_274_1398, , ,AM, 
 ,#N/A,washer,"The portable and compact 1.0 cu. ft. washer has 3 electric controlled water levels and 3 wash cycles for the perfect load every time. The stainless steel tub holds up to 6 pounds of clothes, which is perfect for baby clothes, delicates or a smaller wash. The quick connect sink adaptor is easy and included with your installation kit. When you're all done, just roll the washer away into a closet with included casters.",https://images-na.ssl-images-amazon.com/images/I/41ZET%2BUpx9L._SY445_.jpg,B002UYSHMM,4.3,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/dp/B002UYSHMM/ref=sr_1_3?ie=UTF8&qid=1499411221&sr=8-3&keywords=washer,washer__B002UYSHMM,#N/A,2017-06-27 00:00:00,5.0,"I love this thing. Just make sure you secure the drain hose because it will pop out of the sink and next thing you know, your downstairs ceiling fan will be leaking water.",I love this thing,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/product-reviews/B002UYSHMM/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,washer__B002UYSHMM_Amazon Customer_33_171, , ,AM, 
 ,#N/A,washer,"The portable and compact 1.0 cu. ft. washer has 3 electric controlled water levels and 3 wash cycles for the perfect load every time. The stainless steel tub holds up to 6 pounds of clothes, which is perfect for baby clothes, delicates or a smaller wash. The quick connect sink adaptor is easy and included with your installation kit. When you're all done, just roll the washer away into a closet with included casters.",https://images-na.ssl-images-amazon.com/images/I/41ZET%2BUpx9L._SY445_.jpg,B002UYSHMM,4.3,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/dp/B002UYSHMM/ref=sr_1_3?ie=UTF8&qid=1499411221&sr=8-3&keywords=washer,washer__B002UYSHMM,#N/A,2017-06-26 00:00:00,3.0,Useful and easy to use,Three Stars,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/product-reviews/B002UYSHMM/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,washer__B002UYSHMM_Amazon Customer_5_22, , ,AM, 
 ,#N/A,washer,"The portable and compact 1.0 cu. ft. washer has 3 electric controlled water levels and 3 wash cycles for the perfect load every time. The stainless steel tub holds up to 6 pounds of clothes, which is perfect for baby clothes, delicates or a smaller wash. The quick connect sink adaptor is easy and included with your installation kit. When you're all done, just roll the washer away into a closet with included casters.",https://images-na.ssl-images-amazon.com/images/I/41ZET%2BUpx9L._SY445_.jpg,B002UYSHMM,4.3,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/dp/B002UYSHMM/ref=sr_1_3?ie=UTF8&qid=1499411221&sr=8-3&keywords=washer,washer__B002UYSHMM,#N/A,2017-06-25 00:00:00,5.0,It works great!,Five Stars,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/product-reviews/B002UYSHMM/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Annie,washer__B002UYSHMM_Annie_3_15, , ,AM, 
 ,#N/A,washer,"The portable and compact 1.0 cu. ft. washer has 3 electric controlled water levels and 3 wash cycles for the perfect load every time. The stainless steel tub holds up to 6 pounds of clothes, which is perfect for baby clothes, delicates or a smaller wash. The quick connect sink adaptor is easy and included with your installation kit. When you're all done, just roll the washer away into a closet with included casters.",https://images-na.ssl-images-amazon.com/images/I/41ZET%2BUpx9L._SY445_.jpg,B002UYSHMM,4.3,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/dp/B002UYSHMM/ref=sr_1_3?ie=UTF8&qid=1499411221&sr=8-3&keywords=washer,washer__B002UYSHMM,#N/A,2017-06-25 00:00:00,4.0,"I received this washer last week and I'm pretty happy with it! First of all it was easy to set up the machine out of the box. I followed the very easy to understand instructions and everything went perfect! And when I got all the hoses hooked up nothing leaked! It operates very quietly and the clothes come out really clean. The only one detracting from this machine is that when the cycle is over and you pull out the clothes, the clothes are tangled up in knots and you have to untangle them so you can dry them. It's a small annoyance but y'all should be aware of it.",Great Little Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/product-reviews/B002UYSHMM/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Bryon T. Weaver,washer__B002UYSHMM_Bryon T. Weaver_110_571, , ,AM, 
 ,#N/A,washer,"The portable and compact 1.0 cu. ft. washer has 3 electric controlled water levels and 3 wash cycles for the perfect load every time. The stainless steel tub holds up to 6 pounds of clothes, which is perfect for baby clothes, delicates or a smaller wash. The quick connect sink adaptor is easy and included with your installation kit. When you're all done, just roll the washer away into a closet with included casters.",https://images-na.ssl-images-amazon.com/images/I/41ZET%2BUpx9L._SY445_.jpg,B002UYSHMM,4.3,Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/dp/B002UYSHMM/ref=sr_1_3?ie=UTF8&qid=1499411221&sr=8-3&keywords=washer,washer__B002UYSHMM,#N/A,2017-06-24 00:00:00,5.0,This machine works like a dream,Five Stars,https://www.amazon.com/Haier-HLP21N-Pulsator-1-Cubic-Foot-Portable/product-reviews/B002UYSHMM/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Debra E.,washer__B002UYSHMM_Debra E._6_31, , ,AM, 
