driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pRating,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,rid,sentiConfi,sentiment,siteCode,trigger
 ,Magic Chef,dryer,"The Magic Chef 2.6 cu. ft. compact dryer is just what you need when you do not have ample space for a laundry set up. Its compact design allows its use in apartments, dormitories or even recreational vehicles. It utilizes a standard 110-volt (120VAC, 15 Amp) outlet, therefore you do not need to use the special 220 Volt 30 Amp wiring that is required with other dryers. It can also be wall mounted, or placed on a countertop. Its 3 temperature settings provide options for fabric care. The dryer's ECO Mode and Sensor Dry Selector provide more energy efficient drying.",https://images-na.ssl-images-amazon.com/images/I/811Ov931hgL._SX342_.jpg,B00LS36OGC,4.0,"Magic Chef MCSDRY1S 2.6 cu. ft. Laundry Dryer, White",https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/dp/B00LS36OGC/ref=sr_1_2?ie=UTF8&qid=1496322362&sr=8-2&keywords=dryer,dryer_Magic Chef_B00LS36OGC,$204.97,2017-05-28 00:00:00,5.0,"Awesome little dryer! Will only hold two pairs of pants and two shirts, but it's fine for a single person or a couple.",Awesome little dryer,https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/product-reviews/B00LS36OGC/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Shaun P.,dryer_Magic Chef_B00LS36OGC_Shaun P._23_118, , ,AM, 
 ,Magic Chef,dryer,"The Magic Chef 2.6 cu. ft. compact dryer is just what you need when you do not have ample space for a laundry set up. Its compact design allows its use in apartments, dormitories or even recreational vehicles. It utilizes a standard 110-volt (120VAC, 15 Amp) outlet, therefore you do not need to use the special 220 Volt 30 Amp wiring that is required with other dryers. It can also be wall mounted, or placed on a countertop. Its 3 temperature settings provide options for fabric care. The dryer's ECO Mode and Sensor Dry Selector provide more energy efficient drying.",https://images-na.ssl-images-amazon.com/images/I/811Ov931hgL._SX342_.jpg,B00LS36OGC,4.0,"Magic Chef MCSDRY1S 2.6 cu. ft. Laundry Dryer, White",https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/dp/B00LS36OGC/ref=sr_1_2?ie=UTF8&qid=1496322362&sr=8-2&keywords=dryer,dryer_Magic Chef_B00LS36OGC,$204.97,2017-05-27 00:00:00,5.0,Perfect machine used with a Haier HLP21N Pulsator 1-Cubic-Foot Portable Washer. At first I looked at the all in one washer/dryers combos hearing the good and the bad. This combo is so much better and more cost efficient.,Perfect for my needs,https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/product-reviews/B00LS36OGC/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Suzanne Werden,dryer_Magic Chef_B00LS36OGC_Suzanne Werden_38_220, , ,AM, 
 ,Magic Chef,dryer,"The Magic Chef 2.6 cu. ft. compact dryer is just what you need when you do not have ample space for a laundry set up. Its compact design allows its use in apartments, dormitories or even recreational vehicles. It utilizes a standard 110-volt (120VAC, 15 Amp) outlet, therefore you do not need to use the special 220 Volt 30 Amp wiring that is required with other dryers. It can also be wall mounted, or placed on a countertop. Its 3 temperature settings provide options for fabric care. The dryer's ECO Mode and Sensor Dry Selector provide more energy efficient drying.",https://images-na.ssl-images-amazon.com/images/I/811Ov931hgL._SX342_.jpg,B00LS36OGC,4.0,"Magic Chef MCSDRY1S 2.6 cu. ft. Laundry Dryer, White",https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/dp/B00LS36OGC/ref=sr_1_2?ie=UTF8&qid=1496322362&sr=8-2&keywords=dryer,dryer_Magic Chef_B00LS36OGC,$204.97,2017-05-26 00:00:00,3.0,"I received this little dryer yesterday. I also purchased the Proflex indoor dryer vent kit 4 Inch X 5 foot duct. The problem is no one can figure out how to connect it to the dryer vent.the dryer vent is kinda square and the Proflex is round??? I don't want to use it until we can get the vent kit onto the dryer. Has anyone else purchased the vent kit? If you don't vent the dryer where does the lint go? I purchased this little guy for towels only, because hanging them they get really stiff & rough. Can anyone help me with this problem??? Is this appliance a 120Volt or a 110Volt??? I just noticed on the description that it says it's a 120 Volt. Does that mean I can't plug it into a 110 plug??",I received this little dryer yesterday. I also purchased ...,https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/product-reviews/B00LS36OGC/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Barbara Anderson,dryer_Magic Chef_B00LS36OGC_Barbara Anderson_137_699, , ,AM, 
 ,Magic Chef,dryer,"The Magic Chef 2.6 cu. ft. compact dryer is just what you need when you do not have ample space for a laundry set up. Its compact design allows its use in apartments, dormitories or even recreational vehicles. It utilizes a standard 110-volt (120VAC, 15 Amp) outlet, therefore you do not need to use the special 220 Volt 30 Amp wiring that is required with other dryers. It can also be wall mounted, or placed on a countertop. Its 3 temperature settings provide options for fabric care. The dryer's ECO Mode and Sensor Dry Selector provide more energy efficient drying.",https://images-na.ssl-images-amazon.com/images/I/811Ov931hgL._SX342_.jpg,B00LS36OGC,4.0,"Magic Chef MCSDRY1S 2.6 cu. ft. Laundry Dryer, White",https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/dp/B00LS36OGC/ref=sr_1_2?ie=UTF8&qid=1496322362&sr=8-2&keywords=dryer,dryer_Magic Chef_B00LS36OGC,$204.97,2017-05-23 00:00:00,5.0,Love this little dryer.....it actually dries several thick towels in less than 40 mins! I've even washed my queen size microfiber blankets and had no problem getting them dry rather quickly! HIGHLY RECOMMEND THIS FOR PEOPLE WITH LIMITED SPACE!,Love this little dryer,https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/product-reviews/B00LS36OGC/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,dryer_Magic Chef_B00LS36OGC_Amazon Customer_39_243, , ,AM, 
 ,Magic Chef,dryer,"The Magic Chef 2.6 cu. ft. compact dryer is just what you need when you do not have ample space for a laundry set up. Its compact design allows its use in apartments, dormitories or even recreational vehicles. It utilizes a standard 110-volt (120VAC, 15 Amp) outlet, therefore you do not need to use the special 220 Volt 30 Amp wiring that is required with other dryers. It can also be wall mounted, or placed on a countertop. Its 3 temperature settings provide options for fabric care. The dryer's ECO Mode and Sensor Dry Selector provide more energy efficient drying.",https://images-na.ssl-images-amazon.com/images/I/811Ov931hgL._SX342_.jpg,B00LS36OGC,4.0,"Magic Chef MCSDRY1S 2.6 cu. ft. Laundry Dryer, White",https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/dp/B00LS36OGC/ref=sr_1_2?ie=UTF8&qid=1496322362&sr=8-2&keywords=dryer,dryer_Magic Chef_B00LS36OGC,$204.97,2017-05-23 00:00:00,4.0,"I just received it today trying it out tonight. It seems to be working just fine. I did notice that there was a dent in the side that is why I did not give it 5 stars. I can't imagine how it happened since it was double boxed with padding around it. I will post again if it does not live up to my 4 stars but for now, so far so great!",Can't wait to use if for my RV,https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/product-reviews/B00LS36OGC/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,dryer_Magic Chef_B00LS36OGC_Amazon Customer_73_334, , ,AM, 
 ,Magic Chef,dryer,"The Magic Chef 2.6 cu. ft. compact dryer is just what you need when you do not have ample space for a laundry set up. Its compact design allows its use in apartments, dormitories or even recreational vehicles. It utilizes a standard 110-volt (120VAC, 15 Amp) outlet, therefore you do not need to use the special 220 Volt 30 Amp wiring that is required with other dryers. It can also be wall mounted, or placed on a countertop. Its 3 temperature settings provide options for fabric care. The dryer's ECO Mode and Sensor Dry Selector provide more energy efficient drying.",https://images-na.ssl-images-amazon.com/images/I/811Ov931hgL._SX342_.jpg,B00LS36OGC,4.0,"Magic Chef MCSDRY1S 2.6 cu. ft. Laundry Dryer, White",https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/dp/B00LS36OGC/ref=sr_1_2?ie=UTF8&qid=1496322362&sr=8-2&keywords=dryer,dryer_Magic Chef_B00LS36OGC,$204.97,2017-05-23 00:00:00,5.0,Works perfectly!!!,Five Stars,https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/product-reviews/B00LS36OGC/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Charlie,dryer_Magic Chef_B00LS36OGC_Charlie_2_18, , ,AM, 
 ,Magic Chef,dryer,"The Magic Chef 2.6 cu. ft. compact dryer is just what you need when you do not have ample space for a laundry set up. Its compact design allows its use in apartments, dormitories or even recreational vehicles. It utilizes a standard 110-volt (120VAC, 15 Amp) outlet, therefore you do not need to use the special 220 Volt 30 Amp wiring that is required with other dryers. It can also be wall mounted, or placed on a countertop. Its 3 temperature settings provide options for fabric care. The dryer's ECO Mode and Sensor Dry Selector provide more energy efficient drying.",https://images-na.ssl-images-amazon.com/images/I/811Ov931hgL._SX342_.jpg,B00LS36OGC,4.0,"Magic Chef MCSDRY1S 2.6 cu. ft. Laundry Dryer, White",https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/dp/B00LS36OGC/ref=sr_1_2?ie=UTF8&qid=1496322362&sr=8-2&keywords=dryer,dryer_Magic Chef_B00LS36OGC,$204.97,2017-05-17 00:00:00,1.0,Dries really good but my clothes come out smelling like rubber! It was so bad I had to rewash them. Im so upset. I don't have the time or means to return this dryer.,Smells like burnt rubber!!,https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/product-reviews/B00LS36OGC/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer,dryer_Magic Chef_B00LS36OGC_Amazon Customer_34_165, , ,AM, 
 ,Magic Chef,dryer,"The Magic Chef 2.6 cu. ft. compact dryer is just what you need when you do not have ample space for a laundry set up. Its compact design allows its use in apartments, dormitories or even recreational vehicles. It utilizes a standard 110-volt (120VAC, 15 Amp) outlet, therefore you do not need to use the special 220 Volt 30 Amp wiring that is required with other dryers. It can also be wall mounted, or placed on a countertop. Its 3 temperature settings provide options for fabric care. The dryer's ECO Mode and Sensor Dry Selector provide more energy efficient drying.",https://images-na.ssl-images-amazon.com/images/I/811Ov931hgL._SX342_.jpg,B00LS36OGC,4.0,"Magic Chef MCSDRY1S 2.6 cu. ft. Laundry Dryer, White",https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/dp/B00LS36OGC/ref=sr_1_2?ie=UTF8&qid=1496322362&sr=8-2&keywords=dryer,dryer_Magic Chef_B00LS36OGC,$204.97,2017-05-17 00:00:00,2.0,At first there was a smell when I turned it on that has seemed to go away but not it will not get hot unless I unplug it and plug it back in sometimes this takes 2-3 times of doing. Not a product I would recommend,Not a product I would recommend,https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/product-reviews/B00LS36OGC/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Aelj,dryer_Magic Chef_B00LS36OGC_Aelj_46_213, , ,AM, 
 ,Magic Chef,dryer,"The Magic Chef 2.6 cu. ft. compact dryer is just what you need when you do not have ample space for a laundry set up. Its compact design allows its use in apartments, dormitories or even recreational vehicles. It utilizes a standard 110-volt (120VAC, 15 Amp) outlet, therefore you do not need to use the special 220 Volt 30 Amp wiring that is required with other dryers. It can also be wall mounted, or placed on a countertop. Its 3 temperature settings provide options for fabric care. The dryer's ECO Mode and Sensor Dry Selector provide more energy efficient drying.",https://images-na.ssl-images-amazon.com/images/I/811Ov931hgL._SX342_.jpg,B00LS36OGC,4.0,"Magic Chef MCSDRY1S 2.6 cu. ft. Laundry Dryer, White",https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/dp/B00LS36OGC/ref=sr_1_2?ie=UTF8&qid=1496322362&sr=8-2&keywords=dryer,dryer_Magic Chef_B00LS36OGC,$204.97,2017-05-16 00:00:00,5.0,love it,Five Stars,https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/product-reviews/B00LS36OGC/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Deborah,dryer_Magic Chef_B00LS36OGC_Deborah_2_7, , ,AM, 
 ,Magic Chef,dryer,"The Magic Chef 2.6 cu. ft. compact dryer is just what you need when you do not have ample space for a laundry set up. Its compact design allows its use in apartments, dormitories or even recreational vehicles. It utilizes a standard 110-volt (120VAC, 15 Amp) outlet, therefore you do not need to use the special 220 Volt 30 Amp wiring that is required with other dryers. It can also be wall mounted, or placed on a countertop. Its 3 temperature settings provide options for fabric care. The dryer's ECO Mode and Sensor Dry Selector provide more energy efficient drying.",https://images-na.ssl-images-amazon.com/images/I/811Ov931hgL._SX342_.jpg,B00LS36OGC,4.0,"Magic Chef MCSDRY1S 2.6 cu. ft. Laundry Dryer, White",https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/dp/B00LS36OGC/ref=sr_1_2?ie=UTF8&qid=1496322362&sr=8-2&keywords=dryer,dryer_Magic Chef_B00LS36OGC,$204.97,2017-05-15 00:00:00,5.0,Works very well for a small apt situation.,Needed a dryer!,https://www.amazon.com/Magic-Chef-MCSDRY1S-Laundry-Dryer/product-reviews/B00LS36OGC/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,L. LaRose,dryer_Magic Chef_B00LS36OGC_L. LaRose_8_42, , ,AM, 
