driver,pBrand,pCategory,pDescr,pImgSrc,pModel,pTitle,pURL,pid,price,rDate,rRating,rText,rTitle,rURL,rUser,sentiConfi,sentiment,siteCode,trigger
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1495692055&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-24 00:00:00,4.0,Puts off quite a bit of heat but is smaller than I expected. Great for the price though!,Great for the price though,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amber Lee, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1495692055&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-24 00:00:00,4.0,Like it,Four Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Amazon Customer, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1495692055&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-24 00:00:00,4.0,It works well.,Four Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Tunji A., , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1495692055&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-23 00:00:00,5.0,"Works great! Very attractive style and the compact design is really nice, too.",Works great! Very attractive style and the compact design is ...,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Jacki, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1495692055&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-23 00:00:00,5.0,Great little space heater. Keeps me warm through the winter months without needing to crank up the heat for the whole house.,Great little space heater,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,G. Schultz, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1495692055&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-22 00:00:00,5.0,small and fast warm up machine,Five Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Orange, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1495692055&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-22 00:00:00,4.0,"Good little heater. I have cold feet symptoms, this heater helps with that. Also not that loud compared to other ones.",Good little heater,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Sekoly2012, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1495692055&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-21 00:00:00,1.0,"Very disappointed, it only lasted a couple of months and now is no longer working.",Not working after only 2 months of usage,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Benedetta Mannella, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1495692055&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-21 00:00:00,2.0,I used it from time to time and it stopped working within one year.,Two Stars,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Catsfurever, , ,AM, 
 ,Lasko,Heater,"Size:Under The Desk 9"" Heater
Lasko's #754200 heater offers powerful heat in a small package suitable for under a desk or even table-top.",https://images-na.ssl-images-amazon.com/images/I/81Pwq2e1%2B0L._SY450_.jpg,B000TKDQ5C,Lasko 754200 Ceramic Heater with Adjustable Thermostat,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/dp/B000TKDQ5C/ref=sr_1_3?ie=UTF8&qid=1495692055&sr=8-3&keywords=Heater,Heater_Lasko_B000TKDQ5C,#N/A,2017-05-20 00:00:00,1.0,Did not work. Did not come on. Awful.,One Star,https://www.amazon.com/Lasko-754200-Ceramic-Adjustable-Thermostat/product-reviews/B000TKDQ5C/ref=cm_cr_dp_see_all_btm?ie=UTF8&reviewerType=all_reviews&showViewpoints=1&sortBy=recent&pageNumber=1,Teresa, , ,AM, 
